Año,PIB Nominal,PIB Real
1997,3962524,11404645
1998,4810123,11993573
1999,5738466.37,12323822.14
2000,6693683.01,12932921.34
2001,7069377.27,12880621.89
2002,7455459.2,12875489.67
2003,7868809.55,13061718.52
2004,8828367.43,13573815.06
2005,9562648.11,13887072.52
2006,10630939.43,14511307.25
2007,11504075.51,14843825.98
2008,12353845.28,15013577.68
2009,12162762.85,14219998.38
2010,13366377.17,14947794.7
2011,14665576.47,15495333.6
2012,15817754.58,16059723.65
2013,16277187.08,16277187.08
2014,17484305.61,16741050
2015,18572109.42,17292358.15
2016,20129057.37,17747239.23
2017,21934167.57,18122261.32
2018,23524390.18,18520044
2019,24453296.23,18485613.98
2020,23357377.84,16975827.7
2021,26212980.84,17790190.71
